Task 3's previous accuracies: [0.0, 0.0, 0.0, 98.18181818181819, 0.0]
After 1 epochs, Train acc: 19.7943, Train loss: 3.5289
After 2 epochs, Train acc: 71.9152, Train loss: 2.4106
After 3 epochs, Train acc: 81.2339, Train loss: 1.9809
After 4 epochs, Train acc: 85.8612, Train loss: 1.6956
After 5 epochs, Train acc: 88.4961, Train loss: 1.5305
After 6 epochs, Train acc: 93.5733, Train loss: 1.4029
After 7 epochs, Train acc: 95.9512, Train loss: 1.2613
After 8 epochs, Train acc: 96.8509, Train loss: 1.1714
After 9 epochs, Train acc: 97.7506, Train loss: 1.0749
After 10 epochs, Train acc: 97.9434, Train loss: 1.0203
Task 4 - Test acc: 19.7273, Test loss: 4.0878
Task 4's current accuracies: [0.0, 0.0, 0.0, 2.9545454545454546, 95.68181818181819]
