Task 3's previous accuracies: [0.0, 0.0, 13.409090909090908, 97.95454545454545, 0.0]
After 1 epochs, Train acc: 17.8021, Train loss: 3.6058
After 2 epochs, Train acc: 73.1362, Train loss: 2.4845
After 3 epochs, Train acc: 84.6401, Train loss: 1.9540
After 4 epochs, Train acc: 92.2879, Train loss: 1.6418
After 5 epochs, Train acc: 95.1799, Train loss: 1.4416
After 6 epochs, Train acc: 95.1157, Train loss: 1.3097
After 7 epochs, Train acc: 96.3368, Train loss: 1.1968
After 8 epochs, Train acc: 97.6221, Train loss: 1.1003
After 9 epochs, Train acc: 97.4293, Train loss: 1.0541
After 10 epochs, Train acc: 97.4293, Train loss: 1.0246
Task 4 - Test acc: 20.3182, Test loss: 3.8767
Task 4's current accuracies: [0.0, 0.0, 0.0, 5.909090909090909, 95.68181818181819]
